Stop	StopName	Kommunenavn	Dat	Lon	Lat	PublicLineNo	Reisende
Totals	Totals	Totals	Totals	Totals	Totals	Totals	383 462
33881	Blåskjellveien syd	Færder	2023-10-15	10.456108	59.213515	113B	1
33346	Dramsås	Færder	2023-10-03	10.431409	59.078507	02	1
33881	Blåskjellveien syd	Færder	2023-10-17	10.456108	59.213515	113B	1
33881	Blåskjellveien syd	Færder	2023-10-18	10.456108	59.213515	113B	1
33146	Jarlsberg travbane	Tønsberg	2023-10-09	10.36761	59.281715	011	1
32732	Nyrønninga	Tønsberg	2023-10-30	10.488152	59.288464	116A	1
32732	Nyrønninga	Tønsberg	2023-10-28	10.488152	59.288464	116A	1
32809	Sundene syd Østveien	Færder	2023-10-14	10.397948	59.165928	02	1
30832	Tveitan gård	Tønsberg	2023-10-02	10.290577	59.280224	124	1
31074	Sem kirke	Tønsberg	2023-10-26	10.384958	59.292066	117	1
32809	Sundene syd Østveien	Færder	2023-10-22	10.397948	59.165928	02	1
33881	Blåskjellveien syd	Færder	2023-10-27	10.456108	59.213515	113B	1
32844	Olsrød park	Tønsberg	2023-10-02	10.453389	59.275673	118	1
33345	Dramsås	Færder	2023-10-15	10.432157	59.078225	02	1
33345	Dramsås	Færder	2023-10-14	10.432157	59.078225	02	1
32844	Olsrød park	Tønsberg	2023-10-03	10.453389	59.275673	118	1
32033	Holtekjærtunet	Færder	2023-10-08	10.406472	59.139759	02	1
32033	Holtekjærtunet	Færder	2023-10-01	10.406472	59.139759	02	1
31378	Vestliveien	Færder	2023-10-22	10.389267	59.257034	116B	1
32030	Skjæret	Færder	2023-10-31	10.424834	59.241726	112	1
31078	Sem kirke rundkjøring	Tønsberg	2023-10-17	10.389676	59.291729	117	1
32844	Olsrød park	Tønsberg	2023-10-06	10.453389	59.275673	118	1
32030	Skjæret	Færder	2023-10-29	10.424834	59.241726	113B	1
32030	Skjæret	Færder	2023-10-29	10.424834	59.241726	113A	1
32030	Skjæret	Færder	2023-10-27	10.424834	59.241726	112	1
