Arealregnskap[Kommune],Arealregnskap[Arealformålsgruppe],Arealregnskap[Planreservekategori],Arealregnskap[Arealtype],[Dekar]
Holmestrand,01 Bolig eller sentrumsformål,Planlagt og i bruk,Bebygd,6306.126509740658
Holmestrand,01 Bolig eller sentrumsformål,Planlagt og i bruk,Ferskvann,20.26320139314186
Holmestrand,01 Bolig eller sentrumsformål,Planlagt og i bruk,Fulldyrka jord,46.58085114447702
Holmestrand,01 Bolig eller sentrumsformål,Planlagt og i bruk,Hav,0.3174179155207393
Holmestrand,01 Bolig eller sentrumsformål,Planlagt og i bruk,Innmarksbeite,3.4144438531829864
Holmestrand,01 Bolig eller sentrumsformål,Planlagt og i bruk,Overflatedyrka jord,0.007307481179150444
Holmestrand,01 Bolig eller sentrumsformål,Planlagt og i bruk,Samferdsel,678.2849747051309
Holmestrand,01 Bolig eller sentrumsformål,Planlagt og i bruk,Skog,515.2341338615204
Holmestrand,01 Bolig eller sentrumsformål,Planlagt og i bruk,Åpen fastmark,124.88437215347773
Holmestrand,02 Fritidsbebyggelse,Antatt planreserve,Bebygd,0.7464075277412276
Holmestrand,02 Fritidsbebyggelse,Antatt planreserve,Ferskvann,0.0267197499960193
Holmestrand,02 Fritidsbebyggelse,Antatt planreserve,Fulldyrka jord,143.45194805541848
Holmestrand,02 Fritidsbebyggelse,Antatt planreserve,Hav,0.4107047249689749
Holmestrand,02 Fritidsbebyggelse,Antatt planreserve,Overflatedyrka jord,2.042387237474343
Holmestrand,02 Fritidsbebyggelse,Antatt planreserve,Skog,845.6660101776307
Holmestrand,02 Fritidsbebyggelse,Antatt planreserve,Åpen fastmark,10.27596062611323
Holmestrand,02 Fritidsbebyggelse,Planlagt og i bruk,Bebygd,961.4266995943212
Holmestrand,02 Fritidsbebyggelse,Planlagt og i bruk,Ferskvann,27.737365234977176
Holmestrand,02 Fritidsbebyggelse,Planlagt og i bruk,Fulldyrka jord,17.527002380956574
Holmestrand,02 Fritidsbebyggelse,Planlagt og i bruk,Hav,2.501518254634879
Holmestrand,02 Fritidsbebyggelse,Planlagt og i bruk,Overflatedyrka jord,0.24423359630831443
Holmestrand,02 Fritidsbebyggelse,Planlagt og i bruk,Samferdsel,151.53781087014474
Holmestrand,02 Fritidsbebyggelse,Planlagt og i bruk,Skog,345.7202787698255
Holmestrand,02 Fritidsbebyggelse,Planlagt og i bruk,Åpen fastmark,14.311575541786318
Holmestrand,03 Tjenesteyting,Antatt planreserve,Bebygd,16.762826305386128
Holmestrand,03 Tjenesteyting,Antatt planreserve,Fulldyrka jord,66.01195920971908
Holmestrand,03 Tjenesteyting,Antatt planreserve,Innmarksbeite,0.5049396117307436
Holmestrand,03 Tjenesteyting,Antatt planreserve,Skog,664.0255195731773
Holmestrand,03 Tjenesteyting,Antatt planreserve,Åpen fastmark,32.613117675686446
Holmestrand,03 Tjenesteyting,Planlagt og i bruk,Bebygd,489.49681868623446
Holmestrand,03 Tjenesteyting,Planlagt og i bruk,Ferskvann,0.4365251710113144
Holmestrand,03 Tjenesteyting,Planlagt og i bruk,Fulldyrka jord,5.129140491741325
Holmestrand,03 Tjenesteyting,Planlagt og i bruk,Hav,0.061628363306724804
Holmestrand,03 Tjenesteyting,Planlagt og i bruk,Innmarksbeite,1.9184411150566079
Holmestrand,03 Tjenesteyting,Planlagt og i bruk,Samferdsel,50.9631928233131
Holmestrand,03 Tjenesteyting,Planlagt og i bruk,Skog,39.284236708640876
Holmestrand,03 Tjenesteyting,Planlagt og i bruk,Åpen fastmark,31.623285800251267
Holmestrand,04 Handel,Antatt planreserve,Fulldyrka jord,3.6292079922698064
Holmestrand,04 Handel,Antatt planreserve,Skog,1.7332263603356661
Holmestrand,04 Handel,Antatt planreserve,Åpen fastmark,0.5418041112184725
Holmestrand,04 Handel,Planlagt og i bruk,Bebygd,55.77833724660776
Holmestrand,04 Handel,Planlagt og i bruk,Ferskvann,0.07627497746501412
Holmestrand,04 Handel,Planlagt og i bruk,Fulldyrka jord,0.0958112863395584
Holmestrand,04 Handel,Planlagt og i bruk,Samferdsel,4.960271099180967
Holmestrand,04 Handel,Planlagt og i bruk,Skog,1.0137172992283459
Holmestrand,04 Handel,Planlagt og i bruk,Åpen fastmark,0.24557031120353745
Holmestrand,05 Turistformål,Planlagt og i bruk,Bebygd,92.18025614559583
Holmestrand,05 Turistformål,Planlagt og i bruk,Ferskvann,1.011184652063548
Holmestrand,05 Turistformål,Planlagt og i bruk,Fulldyrka jord,19.91969963205181
Holmestrand,05 Turistformål,Planlagt og i bruk,Hav,0.24924197293437766
Holmestrand,05 Turistformål,Planlagt og i bruk,Samferdsel,18.285574942595787
Holmestrand,05 Turistformål,Planlagt og i bruk,Skog,56.32121896944434
Holmestrand,05 Turistformål,Planlagt og i bruk,Åpen fastmark,12.673838931514291
Holmestrand,06 Næringsvirksomhet,Antatt planreserve,Ferskvann,0.14701228285645085
Holmestrand,06 Næringsvirksomhet,Antatt planreserve,Fulldyrka jord,86.14508140387196
Holmestrand,06 Næringsvirksomhet,Antatt planreserve,Hav,5.932500648136253
Holmestrand,06 Næringsvirksomhet,Antatt planreserve,Innmarksbeite,0.6396763214484325
